7387;Clan Interface Armor (Sqd4);BA;1;3;0.2;37;15|254|16|257
8828;Clan Interface Armor (Sqd5);BA;1;3;0.2;50;15|254|16|257
9191;Clan Interface Armor (Sqd6);BA;1;3;0.2;65;15|254|16|257
3673;Aerie PA(L) (Salvage) (Sqd4);BA;1;2;0.4;27;14|15|254|16|257
3674;Aerie PA(L) (Sqd4);BA;1;2;0.4;27;247|14|15|254|16|257
8600;Aerie PA(L) (Salvage) (Sqd5);BA;1;2;0.4;37;14|15|254|16|257
8601;Aerie PA(L) (Sqd5);BA;1;2;0.4;37;247|14|15|254|16|257
9244;Hantu  AIX-210 (Sqd4);BA;1;2;0.4;44;254|16|257
8964;Aerie PA(L) (Salvage) (Sqd6);BA;1;2;0.4;47;14|15|254|16|257
8965;Aerie PA(L) (Sqd6);BA;1;2;0.4;47;247|14|15|254|16|257
7204;Resgate PA(L) (Spotter) (Sqd4);BA;1;2;0.4;54;15|254|16|257
9245;Hantu  AIX-210 (Sqd5);BA;1;2;0.4;59;254|16|257
4909;Resgate PA(L) (Sqd4);BA;1;2;0.4;61;13|247|14|15|254|16|257
7202;Resgate PA(L) (Interdictor) (Sqd4);BA;1;2;0.4;61;15|254|16|257
7203;Resgate PA(L) (Scout) (Sqd4);BA;1;2;0.4;61;15|254|16|257
9246;Hantu  AIX-210 (Sqd6);BA;1;2;0.4;72;254|16|257
8806;Resgate PA(L) (Spotter) (Sqd5);BA;1;2;0.4;73;15|254|16|257
8659;Resgate PA(L) (Sqd5);BA;1;2;0.4;82;13|247|14|15|254|16|257
8804;Resgate PA(L) (Interdictor) (Sqd5);BA;1;2;0.4;82;15|254|16|257
8805;Resgate PA(L) (Scout) (Sqd5);BA;1;2;0.4;82;15|254|16|257
9169;Resgate PA(L) (Spotter) (Sqd6);BA;1;2;0.4;94;15|254|16|257
7205;Resgate PA(L) (Support) (Sqd4);BA;1;2;0.4;94;15|254|16|257
9023;Resgate PA(L) (Sqd6);BA;1;2;0.4;105;13|247|14|15|254|16|257
9167;Resgate PA(L) (Interdictor) (Sqd6);BA;1;2;0.4;105;15|254|16|257
9168;Resgate PA(L) (Scout) (Sqd6);BA;1;2;0.4;105;15|254|16|257
8807;Resgate PA(L) (Support) (Sqd5);BA;1;2;0.4;127;15|254|16|257
9170;Resgate PA(L) (Support) (Sqd6);BA;1;2;0.4;203;15|254|16|257
5560;Tornado PA(L) P17 "Hurricane" (Sqd4);BA;1;3;0.4;212;247|14|254|16
8706;Tornado PA(L) P17 "Hurricane" (Sqd5);BA;1;3;0.4;285;247|14|254|16
9070;Tornado PA(L) P17 "Hurricane" (Sqd6);BA;1;3;0.4;367;247|14|254|16
5838;Constable Pacification Suit [ECM] (Sqd4);BA;1;2;0.75;123;15|254|16|257
5842;Constable Pacification Suit [TAG] (Sqd4);BA;1;2;0.75;123;15|254|16|257
5841;Constable Pacification Suit [Sensor] (Sqd4);BA;1;2;0.75;130;15|254|16|257
6308;Sea Fox Amphibious Armor (Sqd4);BA;1;3;0.75;130;254|16|257
5839;Constable Pacification Suit [LMG] (Sqd4);BA;1;2;0.75;143;15|254|16|257
8717;Constable Pacification Suit [ECM] (Sqd5);BA;1;2;0.75;166;15|254|16|257
8721;Constable Pacification Suit [TAG] (Sqd5);BA;1;2;0.75;166;15|254|16|257
8720;Constable Pacification Suit [Sensor] (Sqd5);BA;1;2;0.75;175;15|254|16|257
8733;Sea Fox Amphibious Armor (Sqd5);BA;1;3;0.75;175;254|16|257
5840;Constable Pacification Suit [SRM] (Sqd4);BA;1;2;0.75;184;15|254|16|257
8718;Constable Pacification Suit [LMG] (Sqd5);BA;1;2;0.75;193;15|254|16|257
5170;Sylph Battle Armor XR (Sqd4);BA;1;2;0.75;195;14
1274;Gray Death Scout Suit "The Willow Wisps" (Sqd4);BA;1;3;0.75;201;14|15
3147;Sylph Battle Armor (Upgrade) (Sqd4);BA;1;2;0.75;213;247|14|15|254|16|257
9081;Constable Pacification Suit [ECM] (Sqd6);BA;1;2;0.75;213;15|254|16|257
9084;Constable Pacification Suit [TAG] (Sqd6);BA;1;2;0.75;213;15|254|16|257
9096;Sea Fox Amphibious Armor (Sqd6);BA;1;3;0.75;226;254|16|257
8719;Constable Pacification Suit [SRM] (Sqd5);BA;1;2;0.75;247;15|254|16|257
9082;Constable Pacification Suit [LMG] (Sqd6);BA;1;2;0.75;248;15|254|16|257
8677;Sylph Battle Armor XR (Sqd5);BA;1;2;0.75;263;14
8524;Gray Death Scout Suit "The Willow Wisps" (Sqd5);BA;1;3;0.75;271;14|15
3146;Sylph Battle Armor (Sqd4);BA;1;2;0.75;280;13|247|14|15|254|16|257
8588;Sylph Battle Armor (Upgrade) (Sqd5);BA;1;2;0.75;286;247|14|15|254|16|257
